 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   31.3999996       1.06788240E-03   1.93211762E-03   3.00000003E-03
   31.5000000       1.06537680E-03   1.93462323E-03   3.00000003E-03
   31.6000004       1.06288074E-03   1.93711929E-03   3.00000003E-03
   31.7000008       1.06039410E-03   1.93960592E-03   3.00000003E-03
   31.8000011       1.05791679E-03   1.94208324E-03   3.00000003E-03
   31.8999996       1.05544878E-03   1.94455124E-03   3.00000003E-03
   32.0000000       1.05299009E-03   1.94700994E-03   3.00000003E-03
   32.1000023       1.05054060E-03   1.94945943E-03   3.00000003E-03
   32.2000008       1.04810030E-03   1.95189973E-03   3.00000003E-03
   32.2999992       1.04566908E-03   1.95433106E-03   3.00000003E-03
   32.4000015       1.04324694E-03   1.95675320E-03   3.00000003E-03
   32.5000000       1.04083377E-03   1.95916626E-03   3.00000003E-03
   32.6000023       1.03842956E-03   1.96157047E-03   3.00000003E-03
   32.7000008       1.03603431E-03   1.96396583E-03   3.00000003E-03
   32.7999992       1.03364792E-03   1.96635234E-03   3.00000026E-03
   32.9000015       1.03127037E-03   1.96873001E-03   3.00000049E-03
   33.0000000       1.02890155E-03   1.97109883E-03   3.00000049E-03
   33.1000023       1.02654146E-03   1.97345903E-03   3.00000049E-03
   33.2000008       1.02418999E-03   1.97581039E-03   3.00000049E-03
   33.2999992       1.02184725E-03   1.97815313E-03   3.00000049E-03
   33.4000015       1.01951300E-03   1.98048726E-03   3.00000026E-03
   33.5000000       1.01718737E-03   1.98281300E-03   3.00000049E-03
   33.6000023       1.01487024E-03   1.98513013E-03   3.00000049E-03
   33.7000008       1.01256149E-03   1.98743888E-03   3.00000049E-03
   33.7999992       1.01026113E-03   1.98973925E-03   3.00000049E-03
   33.9000015       1.00796914E-03   1.99203123E-03   3.00000049E-03
   34.0000000       1.00568542E-03   1.99431484E-03   3.00000026E-03
   34.1000023       1.00340997E-03   1.99659029E-03   3.00000026E-03
   34.2000008       1.00114278E-03   1.99885760E-03   3.00000049E-03
   34.2999992       9.98883741E-04   2.00111652E-03   3.00000026E-03
   34.4000015       9.96632851E-04   2.00336729E-03   3.00000003E-03
   34.5000000       9.94390110E-04   2.00561015E-03   3.00000026E-03
   34.6000023       9.92155401E-04   2.00784486E-03   3.00000026E-03
   34.7000008       9.89928609E-04   2.01007165E-03   3.00000026E-03
   34.7999992       9.87709849E-04   2.01229053E-03   3.00000049E-03
   34.9000015       9.85499006E-04   2.01450149E-03   3.00000049E-03
   35.0000000       9.83296079E-04   2.01670453E-03   3.00000049E-03
   35.1000023       9.81100951E-04   2.01889966E-03   3.00000049E-03
   35.2000008       9.78913624E-04   2.02108710E-03   3.00000072E-03
   35.2999992       9.76734096E-04   2.02326663E-03   3.00000072E-03
   35.4000015       9.74562252E-04   2.02543847E-03   3.00000072E-03
   35.5000000       9.72398033E-04   2.02760263E-03   3.00000072E-03
   35.6000023       9.70241497E-04   2.02975911E-03   3.00000049E-03
   35.7000008       9.68092529E-04   2.03190814E-03   3.00000072E-03
   35.7999992       9.65951127E-04   2.03404948E-03   3.00000049E-03
   35.9000015       9.63817234E-04   2.03618337E-03   3.00000049E-03
   36.0000000       9.61690850E-04   2.03830982E-03   3.00000072E-03
   36.1000023       9.59571917E-04   2.04042881E-03   3.00000072E-03
   36.2000008       9.57460376E-04   2.04254035E-03   3.00000072E-03
   36.2999992       9.55356169E-04   2.04464444E-03   3.00000049E-03
   36.4000015       9.53259296E-04   2.04674131E-03   3.00000049E-03
   36.5000000       9.51169699E-04   2.04883097E-03   3.00000072E-03
   36.6000023       9.49087378E-04   2.05091340E-03   3.00000072E-03
   36.7000008       9.47012275E-04   2.05298862E-03   3.00000096E-03
   36.7999992       9.44944331E-04   2.05505663E-03   3.00000096E-03
   36.9000015       9.42883547E-04   2.05711741E-03   3.00000096E-03
   37.0000000       9.40829865E-04   2.05917098E-03   3.00000096E-03
   37.1000023       9.38783225E-04   2.06121756E-03   3.00000072E-03
   37.2000008       9.36743629E-04   2.06325715E-03   3.00000072E-03
   37.2999992       9.34711075E-04   2.06528977E-03   3.00000096E-03
   37.4000015       9.32685449E-04   2.06731539E-03   3.00000096E-03
   37.5000000       9.30666749E-04   2.06933403E-03   3.00000072E-03
   37.6000023       9.28654976E-04   2.07134592E-03   3.00000096E-03
   37.7000008       9.26650071E-04   2.07335083E-03   3.00000096E-03
   37.7999992       9.24651977E-04   2.07534898E-03   3.00000096E-03
   37.9000015       9.22660634E-04   2.07734038E-03   3.00000096E-03
   38.0000000       9.20676102E-04   2.07932503E-03   3.00000119E-03
   38.1000023       9.18698264E-04   2.08130293E-03   3.00000119E-03
   38.2000008       9.16727120E-04   2.08327407E-03   3.00000119E-03
   38.2999992       9.14762612E-04   2.08523846E-03   3.00000096E-03
   38.4000015       9.12804739E-04   2.08719634E-03   3.00000096E-03
   38.5000000       9.10853443E-04   2.08914769E-03   3.00000119E-03
   38.6000023       9.08908725E-04   2.09109229E-03   3.00000096E-03
   38.7000008       9.06970527E-04   2.09303037E-03   3.00000096E-03
   38.7999992       9.05038847E-04   2.09496217E-03   3.00000096E-03
   38.9000015       9.03113629E-04   2.09688745E-03   3.00000096E-03
   39.0000000       9.01194813E-04   2.09880620E-03   3.00000096E-03
   39.1000023       8.99282400E-04   2.10071867E-03   3.00000096E-03
   39.2000008       8.97376391E-04   2.10262462E-03   3.00000096E-03
   39.2999992       8.95476667E-04   2.10452429E-03   3.00000096E-03
   39.4000015       8.93583288E-04   2.10641767E-03   3.00000096E-03
   39.5000000       8.91696196E-04   2.10830476E-03   3.00000096E-03
   39.6000023       8.89815332E-04   2.11018557E-03   3.00000096E-03
   39.7000008       8.87940696E-04   2.11206032E-03   3.00000096E-03
   39.7999992       8.86072230E-04   2.11392879E-03   3.00000096E-03
   39.9000015       8.84209934E-04   2.11579120E-03   3.00000119E-03
   40.0000000       8.82353750E-04   2.11764732E-03   3.00000096E-03
   40.1000023       8.80503678E-04   2.11949740E-03   3.00000096E-03
   40.2000008       8.78659659E-04   2.12134141E-03   3.00000096E-03
   40.2999992       8.76821694E-04   2.12317938E-03   3.00000096E-03
   40.4000015       8.74989724E-04   2.12501129E-03   3.00000096E-03
   40.5000000       8.73163692E-04   2.12683738E-03   3.00000096E-03
   40.6000023       8.71343655E-04   2.12865742E-03   3.00000096E-03
   40.7000008       8.69529496E-04   2.13047164E-03   3.00000119E-03
   40.7999992       8.67721275E-04   2.13227980E-03   3.00000096E-03
   40.9000015       8.65918875E-04   2.13408214E-03   3.00000096E-03
   41.0000000       8.64122354E-04   2.13587866E-03   3.00000096E-03
   41.1000023       8.62331653E-04   2.13766936E-03   3.00000096E-03
   41.2000008       8.60546716E-04   2.13945424E-03   3.00000096E-03
   41.2999992       8.58767540E-04   2.14123353E-03   3.00000096E-03
   41.4000015       8.56994069E-04   2.14300700E-03   3.00000096E-03
   41.5000000       8.55226303E-04   2.14477465E-03   3.00000096E-03
   41.6000023       8.53464240E-04   2.14653672E-03   3.00000096E-03
   41.7000008       8.51707824E-04   2.14829319E-03   3.00000096E-03
   41.7999992       8.49956996E-04   2.15004408E-03   3.00000096E-03
   41.9000015       8.48211756E-04   2.15178938E-03   3.00000119E-03
   42.0000000       8.46472103E-04   2.15352909E-03   3.00000119E-03
   42.1000023       8.44737981E-04   2.15526321E-03   3.00000119E-03
   42.2000008       8.43009388E-04   2.15699174E-03   3.00000119E-03
   42.2999992       8.41286324E-04   2.15871492E-03   3.00000119E-03
   42.4000015       8.39568675E-04   2.16043252E-03   3.00000119E-03
   42.5000000       8.37856496E-04   2.16214475E-03   3.00000119E-03
   42.6000023       8.36149731E-04   2.16385140E-03   3.00000119E-03
   42.7000008       8.34448379E-04   2.16555269E-03   3.00000096E-03
   42.7999992       8.32752383E-04   2.16724863E-03   3.00000096E-03
   42.9000015       8.31061741E-04   2.16893922E-03   3.00000096E-03
   43.0000000       8.29376397E-04   2.17062468E-03   3.00000096E-03
   43.1000023       8.27696349E-04   2.17230478E-03   3.00000119E-03
   43.2000008       8.26021540E-04   2.17397953E-03   3.00000096E-03
   43.2999992       8.24351970E-04   2.17564916E-03   3.00000119E-03
   43.4000015       8.22687638E-04   2.17731344E-03   3.00000096E-03
   43.5000000       8.21028487E-04   2.17897259E-03   3.00000096E-03
   43.6000023       8.19374516E-04   2.18062662E-03   3.00000119E-03
   43.7000008       8.17725726E-04   2.18227552E-03   3.00000119E-03
   43.7999992       8.16082058E-04   2.18391931E-03   3.00000142E-03
   43.9000015       8.14443454E-04   2.18555797E-03   3.00000142E-03
   44.0000000       8.12809973E-04   2.18719151E-03   3.00000142E-03
   44.1000023       8.11181555E-04   2.18881993E-03   3.00000142E-03
   44.2000008       8.09558143E-04   2.19044322E-03   3.00000142E-03
   44.2999992       8.07939738E-04   2.19206163E-03   3.00000142E-03
   44.4000015       8.06326338E-04   2.19367514E-03   3.00000142E-03
   44.5000000       8.04717885E-04   2.19528354E-03   3.00000142E-03
   44.6000023       8.03114381E-04   2.19688704E-03   3.00000142E-03
   44.7000008       8.01515824E-04   2.19848566E-03   3.00000142E-03
   44.7999992       7.99922156E-04   2.20007938E-03   3.00000142E-03
   44.9000015       7.98333378E-04   2.20166822E-03   3.00000166E-03
   45.0000000       7.96749431E-04   2.20325217E-03   3.00000166E-03
   45.1000023       7.95170316E-04   2.20483122E-03   3.00000142E-03
   45.2000008       7.93596031E-04   2.20640562E-03   3.00000166E-03
   45.2999992       7.92026520E-04   2.20797514E-03   3.00000166E-03
   45.4000015       7.90461781E-04   2.20953976E-03   3.00000142E-03
   45.5000000       7.88901816E-04   2.21109972E-03   3.00000142E-03
   45.6000023       7.87346566E-04   2.21265503E-03   3.00000166E-03
   45.7000008       7.85796030E-04   2.21420568E-03   3.00000166E-03
   45.7999992       7.84250151E-04   2.21575145E-03   3.00000166E-03
   45.9000015       7.82708928E-04   2.21729255E-03   3.00000142E-03
   46.0000000       7.81172363E-04   2.21882900E-03   3.00000142E-03
   46.1000023       7.79640453E-04   2.22036103E-03   3.00000142E-03
   46.2000008       7.78113143E-04   2.22188840E-03   3.00000142E-03
   46.2999992       7.76590372E-04   2.22341111E-03   3.00000142E-03
   46.4000015       7.75072200E-04   2.22492940E-03   3.00000166E-03
   46.5000000       7.73558568E-04   2.22644303E-03   3.00000166E-03
   46.6000023       7.72049476E-04   2.22795224E-03   3.00000166E-03
   46.7000008       7.70544866E-04   2.22945679E-03   3.00000166E-03
   46.7999992       7.69044738E-04   2.23095692E-03   3.00000166E-03
   46.9000015       7.67549092E-04   2.23245262E-03   3.00000166E-03
   47.0000000       7.66057870E-04   2.23394390E-03   3.00000189E-03
   47.1000023       7.64571072E-04   2.23543076E-03   3.00000189E-03
   47.2000008       7.63088698E-04   2.23691319E-03   3.00000189E-03
   47.2999992       7.61610689E-04   2.23839120E-03   3.00000189E-03
   47.4000015       7.60137103E-04   2.23986479E-03   3.00000189E-03
