 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   14.9000006       7.04314886E-03   2.95685278E-03   1.00000016E-02
   15.0000000       7.03625148E-03   2.96375016E-03   1.00000016E-02
   15.1000004       7.02942489E-03   2.97057652E-03   1.00000016E-02
   15.1999998       7.02266861E-03   2.97733303E-03   1.00000016E-02
   15.3000002       7.01598125E-03   2.98402039E-03   1.00000016E-02
   15.4000006       7.00936234E-03   2.99063930E-03   1.00000016E-02
   15.5000000       7.00281095E-03   2.99719092E-03   1.00000016E-02
   15.6000004       6.99632615E-03   3.00367572E-03   1.00000016E-02
   15.6999998       6.98990701E-03   3.01009463E-03   1.00000016E-02
   15.8000002       6.98355306E-03   3.01644858E-03   1.00000016E-02
   15.9000006       6.97726337E-03   3.02273827E-03   1.00000016E-02
   16.0000000       6.97103748E-03   3.02896439E-03   1.00000016E-02
   16.1000004       6.96487445E-03   3.03512765E-03   1.00000016E-02
   16.2000008       6.95877336E-03   3.04122875E-03   1.00000016E-02
   16.3000011       6.95273373E-03   3.04726860E-03   1.00000026E-02
   16.3999996       6.94675464E-03   3.05324793E-03   1.00000026E-02
   16.5000000       6.94083516E-03   3.05916718E-03   1.00000026E-02
   16.6000004       6.93497481E-03   3.06502730E-03   1.00000016E-02
   16.7000008       6.92917313E-03   3.07082897E-03   1.00000016E-02
   16.8000011       6.92342920E-03   3.07657267E-03   1.00000016E-02
   16.8999996       6.91774255E-03   3.08225933E-03   1.00000016E-02
   17.0000000       6.91211224E-03   3.08788940E-03   1.00000016E-02
   17.1000004       6.90653780E-03   3.09346360E-03   1.00000016E-02
   17.2000008       6.90101879E-03   3.09898262E-03   1.00000016E-02
   17.3000011       6.89555425E-03   3.10444715E-03   1.00000016E-02
   17.3999996       6.89014373E-03   3.10985767E-03   1.00000016E-02
   17.5000000       6.88478677E-03   3.11521487E-03   1.00000016E-02
   17.6000004       6.87948242E-03   3.12051922E-03   1.00000016E-02
   17.7000008       6.87423022E-03   3.12577165E-03   1.00000016E-02
   17.8000011       6.86902925E-03   3.13097239E-03   1.00000016E-02
   17.8999996       6.86387951E-03   3.13612213E-03   1.00000016E-02
   18.0000000       6.85878005E-03   3.14122159E-03   1.00000016E-02
   18.1000004       6.85373042E-03   3.14627122E-03   1.00000016E-02
   18.2000008       6.84873015E-03   3.15127149E-03   1.00000016E-02
   18.3000011       6.84377830E-03   3.15622310E-03   1.00000016E-02
   18.3999996       6.83887489E-03   3.16112651E-03   1.00000016E-02
   18.5000000       6.83401898E-03   3.16598243E-03   1.00000016E-02
   18.6000004       6.82921009E-03   3.17079108E-03   1.00000016E-02
   18.7000008       6.82444777E-03   3.17555317E-03   1.00000007E-02
   18.8000011       6.81973156E-03   3.18026915E-03   1.00000007E-02
   18.8999996       6.81506097E-03   3.18493973E-03   1.00000007E-02
   19.0000000       6.81043556E-03   3.18956515E-03   1.00000007E-02
   19.1000004       6.80585485E-03   3.19414609E-03   1.00000007E-02
   19.2000008       6.80131791E-03   3.19868303E-03   1.00000007E-02
   19.3000011       6.79682475E-03   3.20317619E-03   1.00000007E-02
   19.3999996       6.79237442E-03   3.20762629E-03   1.00000007E-02
   19.5000000       6.78796694E-03   3.21203377E-03   1.00000007E-02
   19.6000004       6.78360183E-03   3.21639911E-03   1.00000007E-02
   19.7000008       6.77927816E-03   3.22072278E-03   1.00000007E-02
   19.8000011       6.77499594E-03   3.22500500E-03   1.00000007E-02
   19.8999996       6.77075423E-03   3.22924647E-03   1.00000007E-02
   20.0000000       6.76655304E-03   3.23344767E-03   1.00000007E-02
   20.1000004       6.76239189E-03   3.23760882E-03   1.00000007E-02
   20.2000008       6.75827032E-03   3.24173039E-03   1.00000007E-02
   20.3000011       6.75418787E-03   3.24581284E-03   1.00000007E-02
   20.3999996       6.75014406E-03   3.24985664E-03   1.00000007E-02
   20.5000000       6.74613845E-03   3.25386226E-03   1.00000007E-02
   20.6000004       6.74217055E-03   3.25782993E-03   1.00000007E-02
   20.7000008       6.73824036E-03   3.26176011E-03   1.00000007E-02
   20.8000011       6.73434697E-03   3.26565327E-03   9.99999978E-03
   20.8999996       6.73049036E-03   3.26950988E-03   9.99999978E-03
   21.0000000       6.72667008E-03   3.27333016E-03   9.99999978E-03
   21.1000004       6.72288565E-03   3.27711459E-03   9.99999978E-03
   21.2000008       6.71913661E-03   3.28086340E-03   9.99999978E-03
   21.3000011       6.71542296E-03   3.28457705E-03   9.99999978E-03
   21.3999996       6.71174424E-03   3.28825600E-03   9.99999978E-03
   21.5000000       6.70809997E-03   3.29190050E-03   1.00000007E-02
   21.6000004       6.70448970E-03   3.29551101E-03   1.00000007E-02
   21.7000008       6.70091296E-03   3.29908775E-03   1.00000007E-02
   21.8000011       6.69736974E-03   3.30263120E-03   1.00000007E-02
   21.8999996       6.69385958E-03   3.30614159E-03   1.00000016E-02
   22.0000000       6.69038203E-03   3.30961938E-03   1.00000016E-02
   22.1000004       6.68693660E-03   3.31306481E-03   1.00000016E-02
   22.2000008       6.68352330E-03   3.31647811E-03   1.00000016E-02
   22.3000011       6.68014167E-03   3.31985974E-03   1.00000016E-02
   22.3999996       6.67679124E-03   3.32321017E-03   1.00000016E-02
   22.5000000       6.67347200E-03   3.32652940E-03   1.00000016E-02
   22.6000004       6.67018350E-03   3.32981814E-03   1.00000016E-02
   22.7000008       6.66692527E-03   3.33307637E-03   1.00000016E-02
   22.8000011       6.66369731E-03   3.33630457E-03   1.00000016E-02
   22.8999996       6.66049868E-03   3.33950296E-03   1.00000016E-02
   23.0000000       6.65732985E-03   3.34267202E-03   1.00000016E-02
   23.1000004       6.65418990E-03   3.34581174E-03   1.00000016E-02
   23.2000008       6.65107882E-03   3.34892259E-03   1.00000016E-02
   23.3000011       6.64799660E-03   3.35200503E-03   1.00000016E-02
   23.3999996       6.64494233E-03   3.35505907E-03   1.00000016E-02
   23.5000000       6.64191647E-03   3.35808517E-03   1.00000016E-02
   23.6000004       6.63891807E-03   3.36108357E-03   1.00000016E-02
   23.7000008       6.63594715E-03   3.36405449E-03   1.00000016E-02
   23.8000011       6.63300324E-03   3.36699816E-03   1.00000016E-02
   23.8999996       6.63008634E-03   3.36991507E-03   1.00000016E-02
   24.0000000       6.62719598E-03   3.37280519E-03   1.00000016E-02
   24.1000004       6.62433216E-03   3.37566901E-03   1.00000016E-02
   24.2000008       6.62149442E-03   3.37850675E-03   1.00000016E-02
   24.3000011       6.61868230E-03   3.38131865E-03   1.00000007E-02
   24.3999996       6.61589578E-03   3.38410493E-03   1.00000007E-02
   24.5000000       6.61313487E-03   3.38686607E-03   1.00000007E-02
   24.6000004       6.61039911E-03   3.38960206E-03   1.00000016E-02
   24.7000008       6.60768803E-03   3.39231314E-03   1.00000016E-02
   24.8000011       6.60500163E-03   3.39499977E-03   1.00000016E-02
   24.8999996       6.60233945E-03   3.39766196E-03   1.00000016E-02
   25.0000000       6.59970148E-03   3.40030016E-03   1.00000016E-02
   25.1000004       6.59708725E-03   3.40291439E-03   1.00000016E-02
   25.2000008       6.59449678E-03   3.40550509E-03   1.00000016E-02
   25.3000011       6.59192959E-03   3.40807228E-03   1.00000016E-02
   25.3999996       6.58938522E-03   3.41061642E-03   1.00000016E-02
   25.5000000       6.58686412E-03   3.41313775E-03   1.00000016E-02
   25.6000004       6.58436539E-03   3.41563625E-03   1.00000016E-02
   25.7000008       6.58188947E-03   3.41811217E-03   1.00000016E-02
   25.8000011       6.57943590E-03   3.42056598E-03   1.00000016E-02
   25.8999996       6.57700421E-03   3.42299766E-03   1.00000016E-02
   26.0000000       6.57459442E-03   3.42540746E-03   1.00000016E-02
   26.1000004       6.57220604E-03   3.42779583E-03   1.00000016E-02
   26.2000008       6.56983908E-03   3.43016279E-03   1.00000016E-02
   26.3000011       6.56749355E-03   3.43250856E-03   1.00000016E-02
   26.3999996       6.56516897E-03   3.43483314E-03   1.00000016E-02
   26.5000000       6.56286487E-03   3.43713700E-03   1.00000016E-02
   26.6000004       6.56058174E-03   3.43942037E-03   1.00000016E-02
   26.7000008       6.55831909E-03   3.44168325E-03   1.00000026E-02
   26.8000011       6.55607646E-03   3.44392587E-03   1.00000026E-02
   26.8999996       6.55385386E-03   3.44614848E-03   1.00000026E-02
   27.0000000       6.55165082E-03   3.44835129E-03   1.00000016E-02
   27.1000004       6.54946780E-03   3.45053454E-03   1.00000026E-02
   27.2000008       6.54730387E-03   3.45269823E-03   1.00000016E-02
   27.3000011       6.54515950E-03   3.45484284E-03   1.00000026E-02
   27.3999996       6.54303422E-03   3.45696835E-03   1.00000026E-02
   27.5000000       6.54092757E-03   3.45907500E-03   1.00000026E-02
   27.6000004       6.53883955E-03   3.46116303E-03   1.00000026E-02
   27.7000008       6.53677015E-03   3.46323242E-03   1.00000026E-02
   27.8000011       6.53471891E-03   3.46528343E-03   1.00000026E-02
   27.8999996       6.53268583E-03   3.46731627E-03   1.00000016E-02
   28.0000000       6.53067091E-03   3.46933119E-03   1.00000016E-02
   28.1000004       6.52867369E-03   3.47132818E-03   1.00000016E-02
   28.2000008       6.52669417E-03   3.47330747E-03   1.00000016E-02
   28.3000011       6.52473234E-03   3.47526930E-03   1.00000016E-02
   28.3999996       6.52278773E-03   3.47721390E-03   1.00000016E-02
   28.5000000       6.52086036E-03   3.47914128E-03   1.00000016E-02
   28.6000004       6.51894975E-03   3.48105165E-03   1.00000016E-02
   28.7000008       6.51705638E-03   3.48294526E-03   1.00000016E-02
   28.8000011       6.51517930E-03   3.48482211E-03   1.00000016E-02
   28.8999996       6.51331898E-03   3.48668243E-03   1.00000016E-02
   29.0000000       6.51147496E-03   3.48852645E-03   1.00000016E-02
   29.1000004       6.50964724E-03   3.49035417E-03   1.00000016E-02
   29.2000008       6.50783535E-03   3.49216582E-03   1.00000016E-02
   29.3000011       6.50603976E-03   3.49396165E-03   1.00000016E-02
   29.3999996       6.50425954E-03   3.49574164E-03   1.00000016E-02
   29.5000000       6.50249515E-03   3.49750603E-03   1.00000016E-02
   29.6000004       6.50074612E-03   3.49925505E-03   1.00000016E-02
   29.7000008       6.49901247E-03   3.50098871E-03   1.00000016E-02
   29.8000011       6.49729418E-03   3.50270700E-03   1.00000016E-02
   29.8999996       6.49559079E-03   3.50441039E-03   1.00000016E-02
   30.0000000       6.49390230E-03   3.50609887E-03   1.00000016E-02
   30.1000004       6.49222871E-03   3.50777246E-03   1.00000016E-02
   30.2000008       6.49056956E-03   3.50943161E-03   1.00000016E-02
   30.3000011       6.48892485E-03   3.51107609E-03   1.00000007E-02
   30.3999996       6.48729457E-03   3.51270637E-03   1.00000007E-02
   30.5000000       6.48567872E-03   3.51432245E-03   1.00000016E-02
   30.6000004       6.48407685E-03   3.51592433E-03   1.00000016E-02
   30.7000008       6.48248894E-03   3.51751223E-03   1.00000016E-02
   30.8000011       6.48091501E-03   3.51908640E-03   1.00000016E-02
   30.8999996       6.47935458E-03   3.52064683E-03   1.00000016E-02
   31.0000000       6.47780765E-03   3.52219352E-03   1.00000016E-02
   31.1000004       6.47627423E-03   3.52372695E-03   1.00000016E-02
   31.2000008       6.47475431E-03   3.52524687E-03   1.00000016E-02
   31.3000011       6.47324743E-03   3.52675351E-03   1.00000007E-02
   31.3999996       6.47175359E-03   3.52824712E-03   1.00000007E-02
   31.5000000       6.47027278E-03   3.52972792E-03   1.00000007E-02
   31.6000004       6.46880502E-03   3.53119569E-03   1.00000007E-02
   31.7000008       6.46734983E-03   3.53265088E-03   1.00000007E-02
   31.8000011       6.46590721E-03   3.53409327E-03   1.00000007E-02
   31.8999996       6.46447716E-03   3.53552331E-03   1.00000007E-02
   32.0000000       6.46305969E-03   3.53694102E-03   1.00000007E-02
   32.1000023       6.46165432E-03   3.53834638E-03   1.00000007E-02
   32.2000008       6.46026107E-03   3.53973964E-03   1.00000007E-02
