 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   90.8499985       9.08847153E-02   1.38543367       2.52367735       3.99999571    
   90.8600006       9.11920443E-02   1.38411963       2.52468419       3.99999571    
   90.8699951       9.15013552E-02   1.38280797       2.52568650       3.99999571    
   90.8799973       9.18126553E-02   1.38149869       2.52668452       3.99999571    
   90.8899994       9.21259597E-02   1.38019180       2.52767801       3.99999571    
   90.9000015       9.24412832E-02   1.37888730       2.52866721       3.99999571    
   90.9099960       9.27586332E-02   1.37758517       2.52965188       3.99999571    
   90.9199982       9.30780247E-02   1.37628543       2.53063226       3.99999571    
   90.9300003       9.33994651E-02   1.37498808       2.53160810       3.99999571    
   90.9399948       9.37229693E-02   1.37369323       2.53257942       3.99999571    
   90.9499969       9.40485522E-02   1.37240076       2.53354645       3.99999571    
   90.9599991       9.43762287E-02   1.37111068       2.53450894       3.99999571    
   90.9700012       9.47060063E-02   1.36982298       2.53546691       3.99999595    
   90.9799957       9.50378999E-02   1.36853766       2.53642035       3.99999595    
   90.9899979       9.53719243E-02   1.36725485       2.53736925       3.99999619    
   91.0000000       9.57080871E-02   1.36597443       2.53831339       3.99999595    
   91.0099945       9.60464031E-02   1.36469638       2.53925300       3.99999571    
   91.0199966       9.63868871E-02   1.36342084       2.54018807       3.99999571    
   91.0299988       9.67295542E-02   1.36214769       2.54111862       3.99999571    
   91.0400009       9.70744118E-02   1.36087704       2.54204440       3.99999571    
   91.0499954       9.74214822E-02   1.35960877       2.54296565       3.99999595    
   91.0599976       9.77707729E-02   1.35834301       2.54388213       3.99999595    
   91.0699997       9.81222987E-02   1.35707963       2.54479408       3.99999595    
   91.0799942       9.84760746E-02   1.35581875       2.54570127       3.99999619    
   91.0899963       9.88321081E-02   1.35456026       2.54660368       3.99999619    
   91.0999985       9.91904214E-02   1.35330427       2.54750133       3.99999619    
   91.1100006       9.95510221E-02   1.35205066       2.54839420       3.99999595    
   91.1199951       9.99139324E-02   1.35079956       2.54928231       3.99999571    
   91.1299973      0.100279160       1.34955096       2.55016565       3.99999571    
   91.1399994      0.100646719       1.34830475       2.55104423       3.99999571    
   91.1500015      0.101016626       1.34706104       2.55191803       3.99999571    
   91.1599960      0.101388901       1.34581983       2.55278707       3.99999571    
   91.1699982      0.101763554       1.34458113       2.55365109       3.99999571    
   91.1800003      0.102140598       1.34334481       2.55451035       3.99999571    
   91.1899948      0.102520049       1.34211099       2.55536461       3.99999571    
   91.1999969      0.102901921       1.34087968       2.55621409       3.99999571    
   91.2099991      0.103286229       1.33965087       2.55705857       3.99999571    
   91.2200012      0.103672996       1.33842456       2.55789804       3.99999571    
   91.2299957      0.104062229       1.33720076       2.55873251       3.99999547    
   91.2399979      0.104453944       1.33597946       2.55956221       3.99999571    
   91.2500000      0.104848161       1.33476067       2.56038690       3.99999571    
   91.2599945      0.105244897       1.33354437       2.56120634       3.99999571    
   91.2699966      0.105644159       1.33233058       2.56202078       3.99999547    
   91.2799988      0.106045969       1.33111930       2.56283021       3.99999547    
   91.2900009      0.106450342       1.32991052       2.56363463       3.99999547    
   91.2999954      0.106857300       1.32870424       2.56443381       3.99999523    
   91.3099976      0.107266851       1.32750058       2.56522799       3.99999547    
   91.3199997      0.107679017       1.32629943       2.56601691       3.99999523    
   91.3299942      0.108093813       1.32510078       2.56680083       3.99999547    
   91.3399963      0.108511254       1.32390463       2.56757951       3.99999523    
   91.3499985      0.108931355       1.32271111       2.56835294       3.99999523    
   91.3600006      0.109354138       1.32152009       2.56912112       3.99999523    
   91.3699951      0.109779619       1.32033169       2.56988406       3.99999523    
   91.3799973      0.110207811       1.31914580       2.57064176       3.99999523    
   91.3899994      0.110638738       1.31796241       2.57139421       3.99999523    
   91.4000015      0.111072414       1.31678164       2.57214141       3.99999547    
   91.4099960      0.111508861       1.31560349       2.57288313       3.99999547    
   91.4199982      0.111948088       1.31442785       2.57361960       3.99999571    
   91.4300003      0.112390116       1.31325483       2.57435060       3.99999571    
   91.4399948      0.112834968       1.31208432       2.57507610       3.99999523    
   91.4499969      0.113282658       1.31091642       2.57579637       3.99999547    
   91.4599991      0.113733210       1.30975115       2.57651114       3.99999547    
   91.4700012      0.114186637       1.30858839       2.57722044       3.99999547    
   91.4799957      0.114642955       1.30742824       2.57792425       3.99999547    
   91.4899979      0.115102187       1.30627072       2.57862258       3.99999547    
   91.5000000      0.115564354       1.30511582       2.57931542       3.99999571    
   91.5099945      0.116029471       1.30396354       2.58000255       3.99999571    
   91.5199966      0.116497554       1.30281389       2.58068419       3.99999571    
   91.5299988      0.116968632       1.30166686       2.58136010       3.99999571    
   91.5400009      0.117442712       1.30052245       2.58203053       3.99999571    
   91.5499954      0.117919825       1.29938066       2.58269525       3.99999571    
   91.5599976      0.118399985       1.29824150       2.58335423       3.99999571    
   91.5699997      0.118883215       1.29710495       2.58400750       3.99999571    
   91.5799942      0.119369529       1.29597104       2.58465505       3.99999571    
   91.5899963      0.119858958       1.29483974       2.58529687       3.99999571    
   91.5999985      0.120351516       1.29371119       2.58593297       3.99999571    
   91.6100006      0.120847218       1.29258525       2.58656311       3.99999571    
   91.6199951      0.121346094       1.29146194       2.58718753       3.99999571    
   91.6299973      0.121848159       1.29034138       2.58780599       3.99999547    
   91.6399994      0.122353435       1.28922343       2.58841872       3.99999571    
   91.6500015      0.122861944       1.28810823       2.58902550       3.99999571    
   91.6599960      0.123373710       1.28699565       2.58962631       3.99999571    
   91.6699982      0.123888746       1.28588581       2.59022117       3.99999571    
   91.6800003      0.124407083       1.28477859       2.59081006       3.99999571    
   91.6899948      0.124928735       1.28367412       2.59139299       3.99999571    
   91.6999969      0.125453725       1.28257239       2.59196973       3.99999571    
   91.7099991      0.125982076       1.28147328       2.59254050       3.99999571    
   91.7200012      0.126513824       1.28037691       2.59310508       3.99999571    
   91.7299957      0.127048969       1.27928329       2.59366345       3.99999571    
   91.7399979      0.127587542       1.27819240       2.59421587       3.99999571    
   91.7500000      0.128129572       1.27710426       2.59476209       3.99999595    
   91.7599945      0.128675073       1.27601886       2.59530210       3.99999619    
   91.7699966      0.129224077       1.27493620       2.59583592       3.99999619    
   91.7799988      0.129776612       1.27385628       2.59636331       3.99999619    
   91.7900009      0.130332679       1.27277911       2.59688449       3.99999619    
   91.7999954      0.130892321       1.27170467       2.59739923       3.99999619    
   91.8099976      0.131455556       1.27063298       2.59790778       3.99999619    
   91.8199997      0.132022411       1.26956403       2.59840989       3.99999619    
   91.8299942      0.132592902       1.26849782       2.59890556       3.99999619    
   91.8399963      0.133167058       1.26743448       2.59939480       3.99999619    
   91.8499985      0.133744910       1.26637387       2.59987760       3.99999642    
   91.8600006      0.134326473       1.26531613       2.60035372       3.99999619    
   91.8699951      0.134911776       1.26426113       2.60082340       3.99999619    
   91.8799973      0.135500848       1.26320899       2.60128641       3.99999619    
   91.8899994      0.136093706       1.26215959       2.60174298       3.99999619    
   91.9000015      0.136690378       1.26111305       2.60219288       3.99999619    
   91.9099960      0.137290895       1.26006925       2.60263610       3.99999619    
   91.9199982      0.137895271       1.25902832       2.60307264       3.99999619    
   91.9300003      0.138503537       1.25799024       2.60350251       3.99999619    
   91.9399948      0.139115721       1.25695503       2.60392547       3.99999619    
   91.9499969      0.139731854       1.25592268       2.60434175       3.99999619    
   91.9599991      0.140351966       1.25489318       2.60475111       3.99999619    
   91.9700012      0.140976071       1.25386655       2.60515356       3.99999619    
   91.9799957      0.141604200       1.25284278       2.60554934       3.99999619    
   91.9899979      0.142236382       1.25182188       2.60593820       3.99999642    
   92.0000000      0.142872646       1.25080383       2.60631990       3.99999642    
   92.0099945      0.143513024       1.24978864       2.60669470       3.99999642    
   92.0199966      0.144157529       1.24877632       2.60706258       3.99999642    
   92.0299988      0.144806206       1.24776697       2.60742331       3.99999642    
   92.0400009      0.145459071       1.24676049       2.60777688       3.99999642    
   92.0499954      0.146116152       1.24575698       2.60812330       3.99999642    
   92.0599976      0.146777481       1.24475634       2.60846257       3.99999642    
   92.0699997      0.147443101       1.24375868       2.60879469       3.99999642    
   92.0799942      0.148113027       1.24276388       2.60911965       3.99999666    
   92.0899963      0.148787290       1.24177206       2.60943723       3.99999666    
   92.0999985      0.149465919       1.24078321       2.60974741       3.99999666    
   92.1100006      0.150148943       1.23979735       2.61005020       3.99999666    
   92.1199951      0.150836393       1.23881435       2.61034560       3.99999619    
   92.1299973      0.151528299       1.23783433       2.61063361       3.99999619    
   92.1399994      0.152224690       1.23685730       2.61091423       3.99999619    
   92.1500015      0.152925596       1.23588324       2.61118746       3.99999619    
   92.1599960      0.153631046       1.23491216       2.61145306       3.99999619    
   92.1699982      0.154341087       1.23394418       2.61171103       3.99999619    
   92.1800003      0.155055732       1.23297918       2.61196136       3.99999619    
   92.1899948      0.155775011       1.23201716       2.61220407       3.99999619    
   92.1999969      0.156498969       1.23105812       2.61243916       3.99999619    
   92.2099991      0.157227635       1.23010218       2.61266637       3.99999619    
   92.2200012      0.157961041       1.22914922       2.61288595       3.99999619    
   92.2299957      0.158699214       1.22819936       2.61309767       3.99999619    
   92.2399979      0.159442201       1.22725260       2.61330152       3.99999619    
