 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   62.2599983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.2700005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.2799988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.2899971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.2999992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3099976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3199997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3299980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3400002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3499985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3599968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3699989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3799973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3899994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.3999977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4099998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4199982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4300003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4399986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4499969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4599991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4699974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4799995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.4899979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5000000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5099983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5200005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5299988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5399971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5499992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5599976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5699997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5799980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5900002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.5999985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6099968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6199989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6299973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6399994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6499977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6599998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6699982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6800003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6899986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.6999969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7099991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7199974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7299995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7399979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7500000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7599983      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7700005      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7799988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7899971      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.7999992      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8099976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8199997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8299980      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8400002      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8499985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8599968      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8699989      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8799973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8899994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.8999977      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9099998      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9199982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9300003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   62.9399986      0.494122922       1.01505446       9.08082426E-02   1.59998572    
