 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   21.5000000       2.62980331E-02   3.70195811E-03   2.99999919E-02
   21.6000004       2.62979735E-02   3.70201794E-03   2.99999919E-02
   21.7000008       2.62979157E-02   3.70207569E-03   2.99999919E-02
   21.8000011       2.62978598E-02   3.70213133E-03   2.99999919E-02
   21.8999996       2.62978058E-02   3.70218512E-03   2.99999900E-02
   22.0000000       2.62977537E-02   3.70223704E-03   2.99999900E-02
   22.1000004       2.62977034E-02   3.70228733E-03   2.99999900E-02
   22.2000008       2.62976550E-02   3.70233576E-03   2.99999900E-02
   22.3000011       2.62976084E-02   3.70238256E-03   2.99999900E-02
   22.3999996       2.62975637E-02   3.70242773E-03   2.99999919E-02
   22.5000000       2.62975208E-02   3.70247150E-03   2.99999919E-02
   22.6000004       2.62974780E-02   3.70251364E-03   2.99999919E-02
   22.7000008       2.62974370E-02   3.70255439E-03   2.99999919E-02
   22.8000011       2.62973979E-02   3.70259373E-03   2.99999919E-02
   22.8999996       2.62973607E-02   3.70263169E-03   2.99999919E-02
   23.0000000       2.62973234E-02   3.70266847E-03   2.99999919E-02
   23.1000004       2.62972880E-02   3.70270386E-03   2.99999919E-02
   23.2000008       2.62972545E-02   3.70273809E-03   2.99999919E-02
   23.3000011       2.62972210E-02   3.70277115E-03   2.99999919E-02
   23.3999996       2.62971893E-02   3.70280305E-03   2.99999919E-02
   23.5000000       2.62971576E-02   3.70283378E-03   2.99999919E-02
   23.6000004       2.62971278E-02   3.70286359E-03   2.99999919E-02
   23.7000008       2.62970999E-02   3.70289246E-03   2.99999919E-02
   23.8000011       2.62970719E-02   3.70292016E-03   2.99999919E-02
   23.8999996       2.62970459E-02   3.70294694E-03   2.99999937E-02
   24.0000000       2.62970198E-02   3.70297278E-03   2.99999919E-02
   24.1000004       2.62969956E-02   3.70299793E-03   2.99999937E-02
   24.2000008       2.62969714E-02   3.70302214E-03   2.99999937E-02
   24.3000011       2.62969472E-02   3.70304543E-03   2.99999919E-02
   24.3999996       2.62969248E-02   3.70306801E-03   2.99999937E-02
   24.5000000       2.62969024E-02   3.70308966E-03   2.99999919E-02
   24.6000004       2.62968820E-02   3.70311062E-03   2.99999919E-02
   24.7000008       2.62968615E-02   3.70313087E-03   2.99999919E-02
   24.8000011       2.62968410E-02   3.70315043E-03   2.99999919E-02
   24.8999996       2.62968224E-02   3.70316929E-03   2.99999919E-02
   25.0000000       2.62968037E-02   3.70318769E-03   2.99999919E-02
   25.1000004       2.62967870E-02   3.70320538E-03   2.99999919E-02
   25.2000008       2.62967702E-02   3.70322238E-03   2.99999919E-02
   25.3000011       2.62967534E-02   3.70323891E-03   2.99999919E-02
   25.3999996       2.62967367E-02   3.70325474E-03   2.99999919E-02
   25.5000000       2.62967218E-02   3.70327011E-03   2.99999919E-02
   25.6000004       2.62967069E-02   3.70328501E-03   2.99999919E-02
   25.7000008       2.62966920E-02   3.70329944E-03   2.99999919E-02
   25.8000011       2.62966789E-02   3.70331318E-03   2.99999919E-02
   25.8999996       2.62966659E-02   3.70332645E-03   2.99999919E-02
   26.0000000       2.62966529E-02   3.70333926E-03   2.99999919E-02
   26.1000004       2.62966398E-02   3.70335183E-03   2.99999919E-02
   26.2000008       2.62966286E-02   3.70336394E-03   2.99999919E-02
   26.3000011       2.62966175E-02   3.70337558E-03   2.99999937E-02
   26.3999996       2.62966063E-02   3.70338676E-03   2.99999937E-02
   26.5000000       2.62965951E-02   3.70339770E-03   2.99999937E-02
   26.6000004       2.62965839E-02   3.70340818E-03   2.99999919E-02
   26.7000008       2.62965746E-02   3.70341819E-03   2.99999937E-02
   26.8000011       2.62965653E-02   3.70342797E-03   2.99999937E-02
   26.8999996       2.62965560E-02   3.70343751E-03   2.99999937E-02
   27.0000000       2.62965467E-02   3.70344659E-03   2.99999937E-02
   27.1000004       2.62965374E-02   3.70345544E-03   2.99999937E-02
   27.2000008       2.62965281E-02   3.70346406E-03   2.99999919E-02
   27.3000011       2.62965206E-02   3.70347220E-03   2.99999937E-02
   27.3999996       2.62965132E-02   3.70348012E-03   2.99999937E-02
   27.5000000       2.62965057E-02   3.70348780E-03   2.99999937E-02
   27.6000004       2.62964983E-02   3.70349525E-03   2.99999937E-02
   27.7000008       2.62964908E-02   3.70350247E-03   2.99999937E-02
   27.8000011       2.62964834E-02   3.70350946E-03   2.99999937E-02
   27.8999996       2.62964759E-02   3.70351621E-03   2.99999919E-02
   28.0000000       2.62964703E-02   3.70352273E-03   2.99999937E-02
   28.1000004       2.62964647E-02   3.70352902E-03   2.99999937E-02
   28.2000008       2.62964591E-02   3.70353507E-03   2.99999937E-02
   28.3000011       2.62964536E-02   3.70354089E-03   2.99999937E-02
   28.3999996       2.62964480E-02   3.70354648E-03   2.99999937E-02
   28.5000000       2.62964424E-02   3.70355183E-03   2.99999937E-02
   28.6000004       2.62964368E-02   3.70355695E-03   2.99999937E-02
   28.7000008       2.62964312E-02   3.70356208E-03   2.99999937E-02
   28.8000011       2.62964256E-02   3.70356697E-03   2.99999919E-02
   28.8999996       2.62964200E-02   3.70357162E-03   2.99999919E-02
   29.0000000       2.62964163E-02   3.70357605E-03   2.99999919E-02
   29.1000004       2.62964126E-02   3.70358047E-03   2.99999937E-02
   29.2000008       2.62964088E-02   3.70358466E-03   2.99999937E-02
   29.3000011       2.62964051E-02   3.70358885E-03   2.99999937E-02
   29.3999996       2.62964014E-02   3.70359281E-03   2.99999937E-02
   29.5000000       2.62963977E-02   3.70359654E-03   2.99999937E-02
   29.6000004       2.62963939E-02   3.70360026E-03   2.99999937E-02
   29.7000008       2.62963902E-02   3.70360375E-03   2.99999937E-02
   29.8000011       2.62963865E-02   3.70360725E-03   2.99999937E-02
   29.8999996       2.62963828E-02   3.70361051E-03   2.99999937E-02
   30.0000000       2.62963790E-02   3.70361377E-03   2.99999937E-02
   30.1000004       2.62963753E-02   3.70361679E-03   2.99999919E-02
   30.2000008       2.62963716E-02   3.70361982E-03   2.99999919E-02
   30.3000011       2.62963679E-02   3.70362261E-03   2.99999900E-02
   30.3999996       2.62963660E-02   3.70362541E-03   2.99999919E-02
   30.5000000       2.62963641E-02   3.70362820E-03   2.99999919E-02
   30.6000004       2.62963623E-02   3.70363076E-03   2.99999937E-02
   30.7000008       2.62963604E-02   3.70363332E-03   2.99999937E-02
   30.8000011       2.62963586E-02   3.70363565E-03   2.99999937E-02
   30.8999996       2.62963567E-02   3.70363798E-03   2.99999937E-02
   31.0000000       2.62963548E-02   3.70364031E-03   2.99999956E-02
   31.1000004       2.62963530E-02   3.70364240E-03   2.99999956E-02
   31.2000008       2.62963511E-02   3.70364450E-03   2.99999956E-02
   31.3000011       2.62963492E-02   3.70364659E-03   2.99999956E-02
   31.3999996       2.62963474E-02   3.70364846E-03   2.99999956E-02
   31.5000000       2.62963455E-02   3.70365032E-03   2.99999956E-02
   31.6000004       2.62963437E-02   3.70365218E-03   2.99999956E-02
   31.7000008       2.62963418E-02   3.70365405E-03   2.99999956E-02
   31.8000011       2.62963399E-02   3.70365568E-03   2.99999956E-02
   31.8999996       2.62963381E-02   3.70365730E-03   2.99999956E-02
   32.0000000       2.62963362E-02   3.70365893E-03   2.99999956E-02
   32.1000023       2.62963343E-02   3.70366056E-03   2.99999956E-02
   32.2000008       2.62963325E-02   3.70366196E-03   2.99999937E-02
   32.2999992       2.62963306E-02   3.70366336E-03   2.99999937E-02
   32.4000015       2.62963288E-02   3.70366476E-03   2.99999937E-02
   32.5000000       2.62963269E-02   3.70366615E-03   2.99999937E-02
   32.6000023       2.62963250E-02   3.70366755E-03   2.99999919E-02
   32.7000008       2.62963232E-02   3.70366871E-03   2.99999919E-02
   32.7999992       2.62963213E-02   3.70366988E-03   2.99999919E-02
   32.9000015       2.62963194E-02   3.70367104E-03   2.99999900E-02
   33.0000000       2.62963176E-02   3.70367221E-03   2.99999900E-02
   33.1000023       2.62963157E-02   3.70367337E-03   2.99999900E-02
   33.2000008       2.62963139E-02   3.70367453E-03   2.99999882E-02
   33.2999992       2.62963120E-02   3.70367547E-03   2.99999882E-02
   33.4000015       2.62963101E-02   3.70367640E-03   2.99999863E-02
   33.5000000       2.62963083E-02   3.70367733E-03   2.99999863E-02
   33.6000023       2.62963083E-02   3.70367826E-03   2.99999863E-02
   33.7000008       2.62963083E-02   3.70367919E-03   2.99999882E-02
   33.7999992       2.62963083E-02   3.70368012E-03   2.99999882E-02
   33.9000015       2.62963083E-02   3.70368105E-03   2.99999900E-02
   34.0000000       2.62963083E-02   3.70368175E-03   2.99999900E-02
