 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
  0.759999990       2.90184785E-02   9.18589532E-03   1.79562776E-03   3.99999991E-02
  0.769999981       2.90092509E-02   9.17562563E-03   1.81512453E-03   4.00000028E-02
  0.779999971       2.90001053E-02   9.16536804E-03   1.83452864E-03   4.00000028E-02
  0.789999962       2.89910398E-02   9.15512163E-03   1.85384054E-03   4.00000028E-02
  0.799999952       2.89820544E-02   9.14488640E-03   1.87306071E-03   4.00000028E-02
  0.810000002       2.89731491E-02   9.13466234E-03   1.89218961E-03   4.00000028E-02
  0.819999993       2.89643239E-02   9.12444945E-03   1.91122782E-03   3.99999991E-02
  0.829999983       2.89555788E-02   9.11424775E-03   1.93017570E-03   4.00000028E-02
  0.839999974       2.89469119E-02   9.10405722E-03   1.94903370E-03   4.00000028E-02
  0.849999964       2.89383233E-02   9.09387786E-03   1.96780241E-03   4.00000028E-02
  0.859999955       2.89298128E-02   9.08370968E-03   1.98648218E-03   4.00000028E-02
  0.870000005       2.89213788E-02   9.07355268E-03   2.00507347E-03   4.00000066E-02
  0.879999995       2.89130211E-02   9.06340685E-03   2.02357653E-03   4.00000066E-02
  0.889999986       2.89047398E-02   9.05327220E-03   2.04199203E-03   4.00000028E-02
  0.899999976       2.88965348E-02   9.04314872E-03   2.06032046E-03   4.00000028E-02
  0.909999967       2.88884062E-02   9.03303549E-03   2.07856228E-03   4.00000066E-02
  0.919999957       2.88803522E-02   9.02293343E-03   2.09671771E-03   4.00000028E-02
  0.930000007       2.88723726E-02   9.01284255E-03   2.11478723E-03   4.00000028E-02
  0.939999998       2.88644675E-02   9.00276285E-03   2.13277154E-03   3.99999991E-02
  0.949999988       2.88566370E-02   8.99269432E-03   2.15067086E-03   3.99999991E-02
  0.959999979       2.88488790E-02   8.98263697E-03   2.16848566E-03   3.99999991E-02
  0.969999969       2.88411956E-02   8.97259079E-03   2.18621618E-03   4.00000028E-02
  0.979999959       2.88335849E-02   8.96255579E-03   2.20386311E-03   4.00000028E-02
  0.989999950       2.88260449E-02   8.95253196E-03   2.22142669E-03   4.00000066E-02
   1.00000000       2.88185775E-02   8.94251838E-03   2.23890739E-03   4.00000028E-02
   1.00999999       2.88111810E-02   8.93251598E-03   2.25630566E-03   3.99999991E-02
